,title,description,return,sentiment
3/16/2020 9:00,Top Independent Analyst Firm Names Pega a Leader in Healthcare CRM,"Pegasystems Inc. (NASDAQ: PEGA), the software company empowering digital transformation at the world's leading enterprises, today announced it has been named a Leader in the Forrester Research report, The Forrester WaveTM : Healthcare CRM Providers, Q1 2020 (…",-12.32,
3/16/2020 9:15,Ideanomics MEG Announces Order from Sichuan Shenwu Yunli Transportation,"Ideanomics, (NASDAQ: IDEX) (""Ideanomics"" or the ""Company""), has today announced a new vehicle order through its MEG subsidiary from construction services company Sichuan Shenwu Yunli Transportation Services Co., Ltd., the leading construction site dump truck …",-12.32,
3/16/2020 9:17,Stock market futures plummet despite Fed intervention,"Futures on U.S. financial markets plunged early Monday, even after the Federal Reserve announced it was slashing rates.",-12.32,
3/16/2020 9:35,"Dow falls 2,200 points, trading halted, as rate cut fails to calm markets","Dow falls 2,200 points, trading halted, as rate cut fails to calm markets",-12.32,
3/16/2020 9:37,Dow tanks 12% in biggest rout since 1987,Dow tanks 12% in biggest rout since 1987The halt at the opening was the third emergency pause in Wall Street trading in six days.,-12.32,
3/16/2020 9:42,"Stock Market Rout Continues, With Trading Halted Even After Fed Slashes Interest Rates To Near Zero",The Fed’s massive monetary stimulus measures over the weekend did little to reassure nervous investors.,-12.32,
3/16/2020 9:45,Stock trading halted as Fed fails to stop the bleeding,Dow falls almost 12% as markets lurch despite the U.S. central bank's emergency interest-rate cut on Sunday.,-12.32,
3/16/2020 9:45,Watch live: Stock market trading on the big board - NBC News,"Watch live: Stock market trading on the big board NBC News S&P 500 drops 11%, extending losses after 15-minute trading halt CNBC Dow Jones, S&P 500, Nasdaq 100 Collapse, Recession Risks Soar DailyFX Traders Question Value of Stock-Market Circuit Breakers The …",-12.32,
3/16/2020 9:47,Stock plunge triggers new market-wide trading pause,"SEC Chairman Jay Clayton tried to reassure investors, saying in an interview on CNBC that &quot;markets should continue to function through times like this.&quot;",-12.32,
3/16/2020 9:51,Wall Street to tumble as second Fed rate cut fans fears,"S&P 500 futures fell 4.77% to hit a daily down trading limit overnight, signaling the benchmark index could trigger a 15-minute cutout put in place to prevent another 1987 ""Black Monday""-style crash.",-12.32,
3/16/2020 9:57,U.S. stock-index futures trigger ‘limit-down’ rule. Here’s how limit rules and stock-market circuit breakers work - MarketWatch,"U.S. stock-index futures trigger ‘limit-down’ rule. Here’s how limit rules and stock-market circuit breakers work MarketWatch S&P 500 recovers some of its steep losses after halt, now down 6% CNBC ‘They Blew It’: Wall Street Reacts to Fed’s Emergency Cut Yaho…",-12.32,
3/16/2020 10:03,"The Tell: ‘I am trying to imagine how this will play out’, says head of world’s largest hedge-fund of market reaction to coronavirus","Ray Dalio on Monday paint an uncertain picture for the economy after the Federal Reserve took extreme measures to limit the economic fallout from the spread of COVID-19, which has delivered a crushing blow to a number of industries and threatens to throw the …",-12.32,
3/16/2020 10:05,"Dow Plunges 2,250 Points, Trading Halted One Minute after Opening","Wall Street took another hit on Monday as the Dow Jones plunged 2,250 points, or 9 percent, while the S&P 500 fell 8 percent and the Nasdaq 6 percent.",-12.32,
3/16/2020 10:08,Stock markets halted for unprecedented third time due to coronavirus scare,"Despite an emergency stimulus plan from the Federal Reserve announced over the weekend, markets opened much lower than futures trading this morning indicated.  For a Level 1 pause to be triggered, the S&P 500 has to see a 7% drop from the previous trading day…",-12.32,
3/16/2020 10:08,Stock markets halted for unprecedented third time due to coronavirus scare,"The morning after the Federal Reserve cut its interest rates to near zero at the urging of the President (a move meant to stabilize jittery markets worried about the economic fallout from the global response to the novel coronavirus pandemic), all of the inde…",-12.32,
3/16/2020 10:29,"NYSE reopens stock trading; S&P -11%, Dow -12% - Seeking Alpha","<ul><li>Stocks resume trading after opening limit-down, despite the Fed cutting rates to nearly zero and restarting its bond-buying program, as the coronavirus spread grinds down global economies; S&P <font color=""red"">-11.4%</font>, Dow <font color=""red"">-12…",-12.32,
3/16/2020 10:29,"Investors Throw in the Towel, with Equities, Commodities and Cryptos Falling into the Abyss",Can it get any worse? It certainly can when considering how far riskier assets have climbed in the bullrun. Trump didn’t think zero rates meant this…,-12.32,
3/16/2020 10:41,S&P 500 Triggers Trading Halt For Third Time in Six Days Despite Fed Rate Cut,"Stocks fell sharply on Monday even after the Federal Reserve embarked on a massive monetary stimulus campaign to curb slower economic growth amid the coronavirus outbreak. From a report: The S&P 500 dropped 9.3% while the Dow Jones Industrial Average fell 2,1…",-12.32,
3/16/2020 10:42,8 Biotechs With Coronavirus Vaccines In Development,"The outbreak of COVID-19 caused by the new coronavirus SARS-CoV-2 is roiling the global economy. The pandemic has caused more than 6,500 deaths, according to Johns Hopkins University. About 35 vaccine candidates with different modes of action are in developme…",-12.32,
3/16/2020 10:45,"Stocks Nosedive on Wall Street, Triggering Trading Halt","The spreading coronavirus is causing businesses around the world to shut their doors, which is draining away revenue.",-12.32,
3/16/2020 11:01,Stocks lose 8% on Wall Street as more businesses shut doors - KPRC Click2Houston,"Stocks lost 8% in morning trading on Wall Street Monday as huge swaths of the economy come closer to shutting down due to the coronavirus outbreak, from airlines to restaurants. Emergency actions taken by the Federal Reserve late Sunday to prop up the economy…",-12.32,
3/16/2020 11:02,"Why Paycom Software, Pinterest, and The Trade Desk Are Plunging Again",Even an emergency stimulus plan couldn't keep the markets from tumbling today.,-12.32,
3/16/2020 11:26,Stocks lose 6% on Wall Street as more businesses shut doors - TwinCities.com-Pioneer Press,"NEW YORK (AP) — Stocks lost more than 6% on Wall Street Monday as huge swaths of the economy come closer to shutting down due to the coronavirus outbreak, from airlines to restaurants. Emerge…",-12.32,
3/16/2020 11:46,A Wall Street analyst says tech investors should prepare for a 'potentially severe demand shock' due to the coronavirus crisis,"A veteran Wall Street analyst says tech investors, particularly those in semiconductor stocks, should be prepared for a ""potentially severe demand shock"" as tech stocks tumbled further on Monday. Stacy Rasgon of Bernstein Research drew parallels between the o…",-12.32,
3/16/2020 11:58,Stock Market News: Tesla Hits the Brakes; Gap Gaps Down,"The market was sharply lower, reversing much of Friday's gains.",-12.32,
3/16/2020 12:27,Coronavirus is causing a lot of 'anxiety' in the stock market: NYSE chief,The stock market turmoil continues as investors assess the economic fallout from the coronavirus.,-12.32,
3/16/2020 12:53,At The Edge Of Inflection,Rita Gunther McGrath was a headline speaker at our Best Global Brands forum at New York’s Nasdaq. She also gave us an exclusive interview read more: The post At The Edge Of Inflection appeared first on brandchannel:.,-12.32,
3/16/2020 13:00,Edtech notches a win as Teachable is acquired by Hotmart,"Edtech has been a hot category for investors for some time. Surging demand for better classes globally from new entrants to the knowledge economy has pushed revenues to new highs. Now, coupled with the rapid propagation of coronavirus forcing dozens of colleg…",-12.32,
3/16/2020 13:00,Edtech notches a win as Teachable is acquired by Hotmart,"Edtech has been a hot category for investors for some time. New York-based Teachable rode that wave since its founding in 2013 as Fedora, creating a marketplace for teachers to sell their online courses and build up their own classroom businesses. Now, I get …",-12.32,
3/16/2020 13:11,Coronavirus: U.S. stocks drop 8% as businesses shut their doors - Los Angeles Times,"U.S. stocks plunged, then clawed back some of that decline, as the coronavirus outbreak came closer to shutting down swaths of the economy.",-12.32,
3/16/2020 13:11,Genmab: An Attractive Biotechnology Platform Pick In March 2020,Darzalex is a major revenue driver for Genmab.The company may start earning significant revenues from other approved products as well as from pipeline products.Revenue volatility and business concentration are key risks for Genmab.,-12.32,
3/16/2020 13:15,Philly orders shutdown of nonessential businesses amid coronavirus spread; New Jersey limits gatherings - The Philadelphia Inquirer,Philadelphia's move to limit nonessential business operations comes after the CDC recommended gatherings of 50 people or more be canceled or postponed for the next eight weeks.,-12.32,
3/16/2020 13:44,How low can the stock market go? Watch these two support zones,"If stocks fall much further, it’s time to ramp up protection.",-12.32,
3/16/2020 13:49,Nano-Cap OpGen Skyrockets On COVID-19 Connection,"OpGen Inc (NASDAQ: OPGN) shares were ripping higher Monday in reaction to an announcement regarding a COVID-19 test kit from German molecular diagnostics company Curetis, which OpGen has agreed to merge with.Curetis said it has begun offering a CE-IVD-certifi…",-12.32,
3/16/2020 13:54,"The Fed cut interest rates to zero, but don’t expect to see 0% mortgages anytime soon - MarketWatch","The Fed cut interest rates to zero, but don’t expect to see 0% mortgages anytime soon MarketWatch Federal Reserve cuts interest rates to ease coronavirus panic CBS This Morning Federal Reserve cuts rates to zero and launches massive $700 billion quantitative …",-12.32,
3/16/2020 14:00,A stock market plunge doesn't mean the Fed's emergency rate cut was wrong,"On Sunday, the Federal Reserve cut interest rates a full percentage point, effectively reducing its target rate to zero. It also made several other emergency moves, all in an effort to defend the economy from the sweeping damage of the global coronavirus outb…",-12.32,
3/16/2020 14:06,Goldman says U.S. growth will shrink 5% next quarter and here’s how low stocks could go - MarketWatch,Goldman says U.S. growth will shrink 5% next quarter and here’s how low stocks could go MarketWatch,-12.32,
3/16/2020 14:30,Huntington Bancshares Incorporated Decreases Its Prime Rate To 3.25 Percent,"Huntington Bancshares Incorporated (Nasdaq: HBAN) announced that its prime rate is decreasing from 4.25 percent to 3.25 percent, effective March 16, 2020.",-12.32,
3/16/2020 14:30,"XPEL, Inc (XPEL) Q4 2019 Earnings Call Transcript","XPEL earnings call for the period ending December 31, 2019.",-12.32,
3/16/2020 15:08,Dow Jones Slumps 2792 Points To New Low; These Growth Stocks Buck The Bear Market Drop - Investor's Business Daily,"Dow Jones Slumps 2792 Points To New Low; These Growth Stocks Buck The Bear Market Drop Investor's Business Daily Special Report: Trading halted as stock market plunges again CBS News Wall Street dives, S&P 500 sheds $2 trillion in value Investing.com Trump pr…",-12.32,
3/16/2020 16:01,"Immunic, Inc. Reports Year End 2019 Financial Results and Highlights Recent Achievements","Immunic, Inc. (Nasdaq: IMUX), a clinical-stage biopharmaceutical company focused on developing best-in-class, oral therapies for the treatment of chronic inflammatory and autoimmune diseases, today announced financial results for the year ended December 31, 2…",-12.32,
3/16/2020 16:01,Insmed Provides Business Update,"Insmed Incorporated (Nasdaq: INSM), a global biopharmaceutical company on a mission to transform the lives of patients with serious and rare diseases, today provided a general business update.",-12.32,
3/16/2020 16:01,BioSpecifics Reports Fourth Quarter and Full Year 2019 Financial and Operating Results,"BioSpecifics Technologies Corp. (NASDAQ: BSTC), a biopharmaceutical company that originated and continues to develop collagenase-based therapies with a first in class collagenase-based product marketed as XIAFLEX® in North America, today announced its financi…",-12.32,
3/16/2020 16:02,Kindred Biosciences Announces Mirataz® (mirtazapine transdermal ointment) Transaction and Reports Fourth Quarter and Full Year 2019 Financial Results,"Kindred Biosciences, Inc. (NASDAQ: KIN), a biopharmaceutical company focused on saving and improving the lives of pets, today announced that it has entered into a transaction for the sale of Mirataz® to Dechra Pharmaceuticals PLC (LSE: DPH) for an upfront pay…",-12.32,
3/16/2020 16:05,Pega Announces Quarterly Cash Dividend for Second Quarter of 2020,"Pegasystems Inc. (NASDAQ: PEGA), the software company empowering digital transformation at the world's leading enterprises, today announced a quarterly cash dividend of $0.03 per share, maintaining the company's current dividend program. The Q2 2020 dividend …",-12.32,
3/16/2020 16:05,SenesTech Announces Fourth Quarter and Fiscal 2019 Financial and Operational Results,"SenesTech, Inc. (NASDAQ: SNES), a developer of proprietary, next generation technologies for managing animal pest populations through fertility control, today announced financial and operational results for the fourth quarter and fiscal year 2019, which ended…",-12.32,
3/16/2020 16:05,Coupa Software Reports Fourth Quarter & Full Year Fiscal 2020 Financial Results,"Coupa Software (NASDAQ: COUP) today announced financial results for its fourth quarter and fiscal year ended January 31, 2020.",-12.32,
3/16/2020 16:06,Kewaunee Scientific Responds to Coronavirus,Kewaunee Scientific Corporation (NASDAQ: KEQU).,-12.32,
3/16/2020 16:06,"Pingtan Marine Enterprise Reports Financial Results for the Fourth Quarter and Year Ended December 31, 2019","Pingtan Marine Enterprise Ltd. (Nasdaq: PME) (""Pingtan"" or the ""Company""), a global fishing company based in the People's Republic of China (PRC), today announced financial results for its fourth quarter and year ended December 31, 2019.",-12.32,
3/16/2020 16:08,"Dow plunges 2,997 points in biggest drop since 1987 as Fed emergency actions fail to calm coronavirus fears","US stocks fell sharply on Monday as investors appear to shrug off the Fed's emergency actions Sunday amid the coronavirus pandemic. The S&P 500 plummeted 8.1% at the open, triggering a 15-minute market-wide trading halt. The Dow Jones Industrial Average slipp…",-12.32,
3/16/2020 16:14,"Coronavirus market carnage: Dow plummets nearly 3,000 points - Aljazeera.com","Coronavirus market carnage: Dow plummets nearly 3,000 points Aljazeera.com Trading temporarily halted as markets plummet despite Fed intervention | ABC News ABC News Dow futures jump 700 points after Wall Street suffers worst day since 1987 market crash CNBC …",-12.32,
3/16/2020 16:15,Ideanomics MEG Announces Order from Beijing Silk Road Rainbow Car Rental,"Ideanomics, (NASDAQ: IDEX) (""Ideanomics"" or the ""Company""), has today announced a new vehicle order through its MEG subsidiary from rental and leasing services company Beijing Silk Road Rainbow Car Rental Group Co., Ltd., the leading bus operator in Northern …",-12.32,
3/16/2020 16:15,"ADP to Announce Third Quarter Fiscal 2020 Financial Results on April 29, 2020","ADP (Nasdaq: ADP), a leading global provider of Human Capital Management (HCM) solutions, is scheduled to release its financial results for the third fiscal quarter ending March 31, 2020 before the opening of the Nasdaq on Wednesday, April 29, 2020.",-12.32,
3/16/2020 16:15,"51job, Inc. Reports Fourth Quarter and Fiscal Year 2019 Financial Results","51job, Inc. (Nasdaq: JOBS) (""51job"" or the ""Company""), a leading provider of integrated human resource services in China, announced today its unaudited financial results for the fourth quarter and fiscal year of 2019 ended December 31, 2019.",-12.32,
3/16/2020 16:17,Factbox: History of extended New York Stock Exchange market closings,"With state and local governments across the United States taking steps to contain the coronavirus spread, including requiring the closing of schools, restaurants and other meeting places, questions have begun to swirl on whether stock markets will shutter.",-12.32,
3/16/2020 16:40,All major indices take a hit as COVID-19 pandemic continues,"All major indices fell sharply Monday as the COVID-19 pandemic continued its spread, prompting airlines to slash capacity and state and local officials to close schools, businesses like restaurants and bars. Stocks accelerated their fall in the waning minutes…",-12.32,
3/16/2020 16:40,All major indices take a hit as COVID-19 pandemic continues,"All major indices fell sharply Monday as the COVID-19 pandemic continued its spread, prompting airlines to slash capacity and state and local officials to close schools, businesses like restaurants and bars. Stocks accelerated their fall in the waning minutes…",-12.32,
3/16/2020 16:45,Commercial Vehicle Group Announces Fourth Quarter and Fiscal Year 2019 Results,"Commercial Vehicle Group, Inc. (the ""Company"" or ""CVG"") (NASDAQ: CVGI) today reported financial results for the fourth quarter and fiscal year ended December 31, 2019.",-12.32,
3/16/2020 16:50,"Stock Market Wrap-Up: Clorox, Kroger Cleaning Up on Coronavirus Buying","The stock market once again had its worst day ever, by some measures.",-12.32,
3/16/2020 17:00,Hallador Energy Company Announces Reduction in Force,"Hallador Energy Company (Nasdaq: HNRG) announced today that its wholly owned subsidiary Sunrise Coal, LLC, is reducing its workforce by 60 employees, effective immediately.",-12.32,
3/16/2020 17:17,"Why ShockWave Medical, Novocure, and Guardant Health Shares Tanked Today",It was another brutal start to the trading week.,-12.32,
3/16/2020 17:32,Peloton stock spikes as the at-home fitness company finds potential customers stuck at home,"As governments across the country weigh whether to push non-essential public venues like gyms to close, more people are searching out expensive gear from Peloton. The public markets are obviously seeing some pretty substantial swings in recent days, but newly…",-12.32,
3/16/2020 17:32,Peloton stock spikes as the at-home fitness company finds potential customers stuck at home,"As governments across the country weigh whether to push non-essential public venues like gyms to close, more people are searching out expensive gear from Peloton. The public markets are obviously seeing some pretty substantial swings in recent days, but newly…",-12.32,
3/16/2020 17:41,U.S. stock market plunges again as shares of Seattle tech companies take a big hit,"The U.S. stock market continued its plunge Monday amid fears of a global recession due to the COVID-19 outbreak. The Dow Jones closed down nearly 3,000 points, or 12.9%, its third-worst one-day percentage drop in history. The S&P 500 fell 12%, reaching its lo…",-12.32,
3/16/2020 18:19,"The Federal Reserve Acts Again: The Stock Market Drops, Again","The Federal Reserve acted again, this time dropping its policy rate of interest by 100 basis points and by signaling more purchases of securities along with some other moves.The Fed's actions seemed to break investor expectations about the severity of the eco…",-12.32,
3/16/2020 19:11,"LOSS NOTICE: ROSEN, NATIONAL TRIAL LAWYERS, Announces Filing of Securities Class Action Lawsuit Against Cronos Group, Inc. - CRON","Rosen Law Firm, a global investor rights law firm, announces the filing of a class action lawsuit on behalf of purchasers of the securities of Cronos Group, Inc. (NASDAQ: CRON) between May 9, 2019 and March 2, 2020, inclusive (the ""Class Period""). The lawsuit…",-12.32,
3/16/2020 19:28,"DOW falls 3,000 points, biggest one-day drop of all time","Financial markets suffered losses of historic proportions Monday, with the DOW falling almost 3,000 points, the biggest one-day point drop of all time. The tumble comes as President Trump concedes the country """"may be"""" heading for a recession. Jill Schlesing…",-12.32,
3/16/2020 20:29,Another black Monday as coronavirus response upends Wall Street - CGTN,"Another black Monday as coronavirus response upends Wall Street CGTN US markets: Trading resumes after 15 min halt; S&P drops 10%, Dow Jones sheds 2,700 pts Moneycontrol.com Dow dives nearly 3,000 points on fears coronavirus will cause recession Livemint This…",-12.32,
3/16/2020 21:08,"LOSS NOTICE: ROSEN, NATIONAL TRIAL LAWYERS, Announces Filing of Securities Class Action Lawsuit Against DouYu International Holdings Limited - DOYU","Rosen Law Firm, a global investor rights law firm, announces the filing of a class action lawsuit on behalf of purchasers of the securities of DouYu International Holdings Limited (NASDAQ: ""DOYU"") pursuant and/or traceable to DouYu's July 18, 2019 initial pub…",-12.32,
3/16/2020 21:27,"Coronavirus in New Jersey: What’s open, what’s closed? Restaurants, stores, banks, mail delivery, malls, UPS, - NJ.com","Coronavirus in New Jersey: What’s open, what’s closed? Restaurants, stores, banks, mail delivery, malls, UPS, NJ.com New Jersey activates National Guard, urges residents to stay home after 8 p.m. CNN New Jersey to call in the state national guard to help prev…",-12.32,
3/16/2020 22:17,A Look At mCloud's Billion-Dollar Formula,mCloud has developed an A.I. engine and created a global footprint designed to capture a massive market opportunity.The company has been successful in transferring newly acquired customers into its platform.Financial information reveals strong growth not full…,-12.32,
3/16/2020 23:32,"Roche Receives FDA Emergency Approval To Ship 400,000 Coronavirus Test Kits Across US",Roche Holding AG (OTC: RHHBY) is shipping COVID-19 test kits approved under emergency use authorization (EUA) by the FDA.What Happened Roche's Sars-CoV-2 Test for COVID-19 has begun shipping to hospitals and laboratories across the U.S. The test will enable h…,-12.32,
3/13/2020 0:10,"U.S. stock market suffers worst crash since 1987, as Americans wake up to a new normal of life - The Washington Post","U.S. stock market suffers worst crash since 1987, as Americans wake up to a new normal of life The Washington Post Stocks dive on Dow’s worst day since 1987, tech crashes and Bitcoin is no haven TechCrunch Dow's plunges 10%, most since 1987 market crash | ABC…",9.35,
3/13/2020 0:11,Amyris' (AMRS) CEO John Melo on Q4 2019 Results - Earnings Call Transcript,,9.35,
3/13/2020 0:13,Trump’s Stock Market Now Worst Since Double-Recession George W. Bush - Bloomberg,"Trump’s Stock Market Now Worst Since Double-Recession George W. Bush Bloomberg Wall Street's roller coaster week continues: Live updates CNN Wall Street plunges, bringing record bull run to an end Nasdaq Dow has worst day since '87, S&P, Nasdaq hit bear marke…",9.35,
3/13/2020 1:37,US Stock futures turn positive on stimulus hopes - Fox Business,Both the NY Fed and the Bank of Japan injected money into the financial system,9.35,
3/13/2020 5:51,10 Thoughts on the Stock Market's Worst Day in 33 Years,This will put Wall Street's biggest rout since 1987 into the proper context.,9.35,
3/13/2020 6:00,"Century Casinos, Inc. Announces Fourth Quarter and Full Year 2019 Results","Century Casinos, Inc. (Nasdaq Capital Market®: CNTY) today announced its financial results for the three months and year ended December 31, 2019.",9.35,
3/13/2020 6:13,"'Markets are screaming for more': Stocks, oil, Treasury yields climb as hopes of a global coronavirus response grow","Stocks, oil, and Treasury yields rebounded on Friday as investors cheered central banks for boosting liquidity and hoped for a coronavirus rescue package in the US. Central banks in Norway, Japan, and Australia cut interest rates, bought government bonds, or …",9.35,
3/13/2020 6:30,Will Coronavirus Really Help Or Hurt Netflix Stock?,"Netflix stock (NASDAQ: NFLX) has fared better than the broader markets through the current Coronavirus/Oil price war crisis, with the stock currently up by about 2% since early February, after the WHO declared a global health emergency. In comparison, the S&P…",9.35,
3/13/2020 6:46,"As coronavirus spreads, CDC warns Americans about traveling within the U.S. - MarketWatch","As coronavirus spreads, CDC warns Americans about traveling within the U.S. MarketWatch Travel industry under siege as coronavirus contagion grows Reuters How travel brands are navigating the coronavirus landscape AdAge.com Coronavirus: Airlines, cruise ships…",9.35,
3/13/2020 7:00,Gogo Announces Fourth Quarter and Full-Year 2019 Financial Results,"Gogo (NASDAQ: GOGO), the leading global provider of broadband connectivity products and services for aviation, today announced its financial results for the quarter and full-year ended December 31, 2019.",9.35,
3/13/2020 7:00,Kirkland's Reports Fourth Quarter And Fiscal 2019 Results,"Kirkland's, Inc. (NASDAQ: KIRK) today reported financial results for the 13-week and 52-week periods ended February 1, 2020.",9.35,
3/13/2020 7:00,MMA Capital Holdings Announces 2019 Full Year Results,"MMA Capital Holdings, Inc. (Nasdaq: MMAC) (""MMA Capital"" or ""the Company"") today reported financial results for the year ended December 31, 2019, including common shareholders' equity (""Book Value"") of $281.1 million, or $48.43 per share. The Company filed it…",9.35,
3/13/2020 7:00,OPKO's BioReference Laboratories Offers Testing for Coronavirus Disease 2019 (COVID-19),"BioReference Laboratories, Inc., an OPKO Health company (NASDAQ: OPK), is now accepting specimens for testing of coronavirus disease 2019 (COVID-19) from healthcare providers, clinics and health systems throughout the United States. In addition, BioReference …",9.35,
3/13/2020 7:03,"So far, Netflix is surviving the coronavirus crisis better than most media and tech companies","There’s a reason why Netflix is performing better than Disney and Fox, or even Facebook and Snap. Unless you’ve been hiding under a rock, you know that yesterday was the single worst trading day for the United States in over 30 years. The Dow alone fell 10% i…",9.35,
3/13/2020 7:03,"So far, Netflix is surviving the coronavirus crisis better than most media and tech companies","There’s a reason why Netflix is performing better than Disney and Fox, or even Facebook and Snap. Unless you’ve been hiding under a rock, you know that yesterday was the single worst trading day for the United States in over 30 years. The Dow alone fell 10% i…",9.35,
3/13/2020 7:17,Still richer than you! World’s 20 wealthiest lose almost $80 BILLION in Thursday’s market rout,The global markets bloodbath this week caused by the coronavirus pandemic took a definite bite out of the wealth of the world’s richest. Read Full Article at RT.com,9.35,
3/13/2020 7:30,Luminex Provides Update on SARS-CoV-2 Validation Testing Efforts,"Luminex Corporation (NASDAQ: LMNX) announced today that four independent clinical laboratories have validated laboratory developed tests (LDTs) for automated, rapid detection of the SARS-CoV-2 virus using the sample-to-answer ARIES® System. These LDTs demonst…",9.35,
3/13/2020 7:30,Leading Veterinary Diagnostic Company Sees No COVID-19 Cases in Pets,"IDEXX Laboratories, Inc. (NASDAQ: IDXX), a global leader in veterinary diagnostics and software, today announced that the company has seen no positive results in pets to date of SARS-CoV-2, the coronavirus strain responsible for the coronavirus disease 2019 (…",9.35,
3/13/2020 7:30,Intec Pharma Reports Fourth Quarter and Year End 2019 Financial Results and Corporate Update,"Intec Pharma Ltd. (NASDAQ: NTEC) (""Intec"" or ""the Company"") today announces financial results for the fourth quarter and year ended December 31, 2019 and provides a corporate update.",9.35,
3/13/2020 7:30,Leading Veterinary Diagnostic Company Sees No COVID-19 Cases in Pets,"IDEXX Laboratories, Inc. (NASDAQ: IDXX), a global leader in veterinary diagnostics and software, today announced that the company has seen no positive results in pets to date of SARS-CoV-2, the coronavirus strain responsible for the coronavirus disease 2019 (…",9.35,
3/13/2020 7:35,What Does Thursday's Market Crash Portend,"The average bear lasts 10 months, but many have lasted for years. Prepare yourself for a long slog through the mud.Thursday's market drop ranks as the 2nd worst day out of 17,684 trading days since 1950.On Christmas Eve of 2018, the market was down by 19.8% a…",9.35,
3/13/2020 7:45,Forrester SiriusDecisions Summit 2020 To Be Held As A Virtual Conference,"Forrester (NASDAQ: FORR) today announced that its SiriusDecisions Summit 2020 will now be delivered as a virtual conference, starting May 4. The decision has been made in light of the COVID-19 pandemic to ensure the health and safety of the more than 4,000 cu…",9.35,
3/13/2020 7:52,"Stock market news live: Stock futures surge, hitting limit-up a day after sinking into a bear market","Contracts on the Dow, S&P 500 and Nasdaq rocketed higher and hit their upper limits during pre-market trading.",9.35,
3/13/2020 8:15,Umpqua Holdings Announces Quarterly Dividend,"Umpqua Holdings Corporation (NASDAQ: UMPQ) today announced that its Board of Directors has approved a quarterly cash dividend in the amount of $0.21 per common share. The dividend is payable on April 15, 2020, to shareholders of record as of March 31, 2020.",9.35,
3/13/2020 8:30,Alerian Index Series March 2020 Index Review,"Alerian announced the results of the March quarterly review for the Alerian Index Series. All changes will be implemented as of the close of business on Friday, March 20, 2020.",9.35,
3/13/2020 8:35,"Coronavirus crisis: Trump blasts CDC, more sports suspended and Justin Trudeau's wife tests positive - NBCNews.com","Coronavirus crisis: Trump blasts CDC, more sports suspended and Justin Trudeau's wife tests positive NBCNews.com 'The View' co-host Joy Behar wrongly says Trump shut down 37 global anti-pandemic programs PolitiFact Trump zigs and zags as he tries to balance c…",9.35,
3/13/2020 8:45,"CME and Cboe are clearing trading floors as coronavirus spreads, and one veteran trader thinks the millions they'll save will be too good to ever reopen the iconic pits","Options exchange operators are shuttering access to physical trading floors to help limit large gatherings and combat the spread of the novel coronavirus, COVID-19. Jon Najarian, a veteran options trader and CNBC commentator, thinks that could be a step towar…",9.35,
3/13/2020 8:47,Stocks Rebound After Thursday’s Historic Market Meltdown Over Coronavirus Fears,"U.S. equities markets bounced back Friday with major indices notching solid gains in early trading, a day after a rout that saw the worst declines for stocks since the Black Monday meltdown in October 1987. The Dow Jones Industrial Average was up over 600 poi…",9.35,
3/13/2020 8:59,Stocks stage big comeback after worst day since 1987 crash - Fox Business,"Stocks stage big comeback after worst day since 1987 crash Fox Business Dow bounces 500 points on government stimulus hopes, rebounding from worst drop since '87 CNBC Wall Street plunges, bringing record bull run to an end Nasdaq Worst day on Wall Street sinc…",9.35,
3/13/2020 9:00,"LiqTech International, Inc. to Discuss Fiscal Year 2019 Results on Thursday, March 26, 2020","LiqTech International, Inc. (NASDAQ: LIQT), a clean technology company that manufactures and markets highly specialized filtration products and systems, will report financial results for its fiscal year 2019 ended December 31, 2019 on Thursday, March 26, 2020…",9.35,
3/13/2020 9:00,"Eastside Distilling Expands its Premium Product Line with Azuñia Tequila, Burnside Bourbon and Hue-Hue Coffee Rum","Eastside Distilling, Inc. (NASDAQ: EAST) today announced expanded distribution in Florida and California for the Company's Azuñia Tequila, Burnside Bourbon and Hue-Hue Coffee Rum (pronounced Way-Way) brands. The expansion of these brands leverages the Company…",9.35,
3/13/2020 9:00,"SenesTech, Inc. to Report Fourth Quarter and Fiscal Year 2019 Financial Results on Monday, March 16, 2020","SenesTech, Inc. (NASDAQ: SNES), a developer of proprietary technologies for managing animal pest populations through fertility control, will report financial results for its fourth quarter and fiscal year 2019, ended December 31, 2019, after the market close …",9.35,
3/13/2020 9:00,Expedia Group Withdraws 2020 Guidance Due to COVID-19 Impact,"Expedia Group, Inc. (NASDAQ: EXPE) announced today that it is withdrawing its full-year 2020 Adjusted EBITDA guidance due to the growing impact from the COVID-19 outbreak and the resulting uncertainty on travel trends. With the outbreak spreading significantl…",9.35,
3/13/2020 9:02,Cushing® Asset Management and Swank Capital Announce Rebalancing of The Cushing® MLP Market Cap Index,"Cushing® Asset Management, LP, and Swank Capital, LLC, announce today the upcoming rebalancing of The Cushing® MLP Market Cap Index (the ""Index"") as part of normal index operations. After the markets close on March 20, 2020, the 30 constituents of the Index w…",9.35,
3/13/2020 9:17,Better Buy: ExxonMobil vs. BP,Debt matters more than ever in the tumultuous energy sector.,9.35,
3/13/2020 9:19,Wall Street set to bounce as investors bet on stimulus to thwart recession,"Wall Street was set for a strong rebound on Friday, with the Dow on course to jump nearly 1,000 points at the open as investors hoped more fiscal easing would head off a global recession.",9.35,
